Date,High,Low,Summary
22-08-26,26.0,19.0,Heavy rain showers and light winds
22-08-27,26.0,19.0,Thundery showers and light winds
22-08-28,26.0,20.0,Thundery showers and light winds
22-08-29,27.0,20.0,Thundery showers and light winds
22-08-30,28.0,20.0,Thundery showers and light winds
22-08-31,27.0,20.0,Light cloud and light winds
22-09-01,28.0,20.0,Light rain showers and light winds
22-09-02,27.0,20.0,Light rain showers and light winds
22-09-03,28.0,20.0,Light cloud and light winds
22-09-04,27.0,20.0,Light cloud and light winds
22-09-05,27.0,20.0,Thundery showers and light winds
22-09-06,26.0,19.0,Light cloud and light winds
22-09-07,26.0,19.0,Light cloud and light winds
